Banks,Liberal
Barton,Australian Labor Party
Bennelong,Liberal
Berowra,Liberal
Blaxlan,Australian Labor Party
Bradfield,Liberal
Calare,The Nationals
Chifley ,Australian Labor Party
Cook,Liberal
Cowper,The Nationals
Cunningham,Australian Labor Party
Dobell,Australian Labor Party
Eden-Monaro,Australian Labor Party
Farrer,Liberal
Fowler,Australian Labor Party
Gilmore,Liberal
Grayndler ,Australian Labor Party
Greenway,Australian Labor Party
Hughes,Liberal
Hume,Liberal
Hunter,Australian Labor Party
Kingford Smith,Australian Labor Party
Lindsay,Australian Labor Party
Lyne,The Nationals
Macarthur ,Australian Labor Party
Mackellar,Liberal
Macquarie,Australian Labor Party
McMahon,Australian Labor Party
Mitchell,Liberal
New England,The Nationals
Newcastle,Australian Labor Party
North Sydney,Liberal
Page,The Nationals
Parkes,The Nationals
Parramatta,Australian Labor Party
Paterson,Australian Labor Party
Reid,Liberal
Richmond,Australian Labor Party
Riverina,The Nationals
Robertson,Liberal
Shortland,Australian Labor Party
Sydney,Australian Labor Party
Warringah,Liberal
Watson,Australian Labor Party
Wentworth,Liberal
Werriwa,Australian Labor Party
Whitlam,Australian Labor Party
Aston,Liberal
Ballarat,Australian Labor Party
Batman,Australian Labor Party
Bendigo,Australian Labor Party
Bruce,Australian Labor Party
Calwell,Australian Labor Party
Casey,Liberal
Chisholm,Liberal
Corangamite,Liberal
Corio,Australian Labor Party
Deakin,Liberal
Dunkley,Liberal
Flinders,Liberal
Gellibrand,Australian Labor Party
Gippsland,The Nationals
Goldstein,Liberal
Gorton,Australian Labor Party
Higgins,Liberal
Holt,Australian Labor Party
Hotham,Australian Labor Party
Indi,Independent
Isaacs,Australian Labor Party
Jagajaga,Australian Labor Party
Kooyong,Liberal
La Trobe,Liberal
Lalor,Australian Labor Party
Mallee,The Nationals
Maribyrnong,Australian Labor Party
McEwen,Australian Labor Party
McMillan,Liberal
Melbourne,The Greens
Melbourne Ports,Australian Labor Party
Menzies,Liberal
Murray,The Nationals
Scullin,Australian Labor Party
Wannon,Liberal
Wills,Australian Labor Party
Blair ,Australian Labor Party
Bonner,Liberal National Party
Bowman,Liberal National Party
Brisbane,Liberal National Party
Capricornia,Liberal National Party
Dawson,Liberal National Party
Dickson,Liberal National Party
Fadden,Liberal National Party
Fairfax,Liberal National Party
Fisher,Liberal National Party
Flynn,Liberal National Party
Forde,Liberal National Party
Griffith,Australian Labor Party
Groom,Liberal National Party
Herbert,Australian Labor Party
Hinkler,Liberal National Party
Kennedy,Katter's Australian Party
Leichhardt,Liberal National Party
Lilley,Australian Labor Party
Longman,Australian Labor Party
Maranoa,Liberal National Party
McPherson ,Liberal National Party
Moncrieff,Liberal National Party
Moreton,Australian Labor Party
Oxley,Australian Labor Party
Petrie,Liberal National Party
Rankin,Australian Labor Party
Ryan,Liberal National Party
Wide Bay,Liberal National Party
Wright,Liberal National Party
Adelaide,Australian Labor Party
Barker,Liberal
Boothby,Liberal
Grey,Liberal
Hindmarsh,Australian Labor Party
Kingston,Australian Labor Party
Makin,Australian Labor Party
Mayo,Nick Xenophon Team
Port Adelaide,Australian Labor Party
Sturt,Liberal
Wakefield,Australian Labor Party
Brand,Australian Labor Party
Burt,Australian Labor Party
Canning,Liberal
Cowan,Australian Labor Party
Curtin,Liberal
Durack,Liberal
Forrest,Liberal
Fremantle,Australian Labor Party
Hasluck,Liberal
Moore,Liberal
O'Connor,Liberal
Pearce,Liberal
Perth,Australian Labor Party
Stirling,Liberal
Swan,Liberal
Tangney,Liberal
Bass,Australian Labor Party
Braddon,Australian Labor Party
Denison,Independent
Franklin,Australian Labor Party
Lyons,Australian Labor Party
Lingiari,Australian Labor Party
Solomon,Australian Labor Party
Canberra,Australian Labor Party
Fenner,Australian Labor Party